#,Player,GS,MIN,FG MADE,FG_ATT,FG%,3PT MADE,3PT_ATT,3PT%,FT MADE,FT_ATT,FT%,PTS,ORB,DRB,REB,STL,BLK,A,TO,PF,Opponent,Date
20,Morgan Baird,*,27,7,13,0.5384615384615384,0,0,0.0,2,2,1.0,16,1,4,5,0,0,1,0,0,Warner Pacific (OR),2025-01-11
12,Emma Schmerbach,*,25,6,8,0.75,0,1,0.0,3,5,0.6,15,2,4,6,3,2,8,2,3,Warner Pacific (OR),2025-01-11
23,Clara Robbins,*,15,2,4,0.5,0,0,0.0,0,0,0.0,4,1,3,4,2,2,0,0,1,Warner Pacific (OR),2025-01-11
10,Bridgette McIntyre,*,23,0,7,0.0,0,5,0.0,0,0,0.0,0,0,1,1,0,0,1,1,1,Warner Pacific (OR),2025-01-11
32,Eliza DiGiulio,-,18,5,6,0.8333333333333334,1,1,1.0,2,2,1.0,13,1,1,2,2,0,1,1,0,Warner Pacific (OR),2025-01-11
22,Sierra Scheppele,-,15,4,6,0.6666666666666666,2,4,0.5,0,0,0.0,10,0,0,0,0,0,1,0,1,Warner Pacific (OR),2025-01-11
33,Mallory Williams,-,16,2,2,1.0,2,2,1.0,0,0,0.0,6,0,0,0,0,0,0,1,0,Warner Pacific (OR),2025-01-11
13,Keeley Wright,-,13,1,3,0.3333333333333333,0,0,0.0,1,2,0.5,3,0,0,0,0,0,4,1,1,Warner Pacific (OR),2025-01-11
5,Makayla Scurlock,-,11,1,3,0.3333333333333333,0,1,0.0,0,0,0.0,2,1,2,3,2,0,0,0,4,Warner Pacific (OR),2025-01-11
21,Jenika Zurita,-,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Warner Pacific (OR),2025-01-11
24,Ali Stevens,-,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,Warner Pacific (OR),2025-01-11
10,Bridgette Mcintyre,*,35,4,9,0.4444444444444444,4,7,0.5714285714285714,2,2,1.0,14,0,4,4,0,0,3,1,3,Oregon Tech,2024-12-14
12,Emma Schmerbach,*,32,5,11,0.45454545454545453,0,1,0.0,3,3,1.0,13,2,5,7,1,3,3,3,2,Oregon Tech,2024-12-14
20,Morgan Baird,*,28,5,9,0.5555555555555556,0,1,0.0,0,2,0.0,10,1,2,3,1,2,3,2,2,Oregon Tech,2024-12-14
1,Meghan Mcintyre,*,26,2,6,0.3333333333333333,0,1,0.0,3,6,0.5,7,0,3,3,1,0,3,5,2,Oregon Tech,2024-12-14
23,Clara Robbins,*,13,1,1,1.0,0,0,0.0,0,0,0.0,2,0,5,5,1,1,0,1,2,Oregon Tech,2024-12-14
32,Eliza Digiulio,-,30,2,5,0.4,1,2,0.5,4,4,1.0,9,2,2,4,2,0,0,1,2,Oregon Tech,2024-12-14
33,Mallory Williams,-,5,2,2,1.0,2,2,1.0,0,0,0.0,6,0,1,1,0,0,0,0,1,Oregon Tech,2024-12-14
13,Keeley Wright,-,10,1,1,1.0,0,0,0.0,2,3,0.6666666666666666,4,1,2,3,0,0,1,3,0,Oregon Tech,2024-12-14
22,Sierra Scheppele,-,12,0,1,0.0,0,1,0.0,0,0,0.0,0,0,2,2,0,0,0,0,0,Oregon Tech,2024-12-14
5,Makayla Scurlock,-,9,0,2,0.0,0,2,0.0,0,0,0.0,0,0,1,1,0,0,1,0,1,Oregon Tech,2024-12-14
1,Meghan McIntyre,*,26,7,9,0.7777777777777778,2,2,1.0,1,4,0.25,17,1,3,4,5,0,4,2,0,Bushnell (OR),2025-02-07
12,Emma Schmerbach,*,24,8,12,0.6666666666666666,1,1,1.0,0,0,0.0,17,3,6,9,2,3,1,3,3,Bushnell (OR),2025-02-07
20,Morgan Baird,*,23,5,11,0.45454545454545453,0,1,0.0,0,0,0.0,10,2,0,2,0,1,3,1,0,Bushnell (OR),2025-02-07
23,Clara Robbins,*,20,1,2,0.5,0,0,0.0,0,0,0.0,2,1,2,3,1,1,2,0,0,Bushnell (OR),2025-02-07
10,Bridgette McIntyre,*,26,0,6,0.0,0,4,0.0,0,0,0.0,0,0,4,4,1,0,1,0,0,Bushnell (OR),2025-02-07
32,Eliza DiGiulio,-,22,4,9,0.4444444444444444,0,1,0.0,0,0,0.0,8,0,2,2,1,0,3,0,1,Bushnell (OR),2025-02-07
22,Sierra Scheppele,-,12,1,6,0.16666666666666666,1,5,0.2,2,2,1.0,5,0,1,1,0,0,0,0,1,Bushnell (OR),2025-02-07
33,Mallory Williams,-,15,1,5,0.2,0,0,0.0,2,2,1.0,4,3,1,4,0,1,1,0,0,Bushnell (OR),2025-02-07
13,Keeley Wright,-,14,2,2,1.0,0,0,0.0,0,0,0.0,4,1,4,5,1,0,2,1,0,Bushnell (OR),2025-02-07
5,Makayla Scurlock,-,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,0,0,1,0,0,Bushnell (OR),2025-02-07
21,Jenika Zurita,-,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Bushnell (OR),2025-02-07
24,Ali Stevens,-,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,3,Bushnell (OR),2025-02-07
1,Meghan McIntyre,*,24,5,11,0.45454545454545453,0,3,0.0,3,4,0.75,13,2,3,5,7,0,5,0,1,Life Pacific,2024-11-23
12,Emma Schmerbach,*,15,5,7,0.7142857142857143,2,2,1.0,0,2,0.0,12,3,2,5,2,0,0,1,2,Life Pacific,2024-11-23
22,Sierra Scheppele,*,14,4,7,0.5714285714285714,4,6,0.6666666666666666,0,0,0.0,12,0,4,4,1,0,0,0,1,Life Pacific,2024-11-23
10,Bridgette McIntyre,*,25,3,6,0.5,2,4,0.5,2,2,1.0,10,3,4,7,3,0,1,0,1,Life Pacific,2024-11-23
23,Clara Robbins,*,19,0,3,0.0,0,0,0.0,1,2,0.5,1,1,2,3,1,2,2,1,0,Life Pacific,2024-11-23
33,Mallory Williams,-,20,4,7,0.5714285714285714,4,7,0.5714285714285714,1,2,0.5,13,1,4,5,1,0,4,0,0,Life Pacific,2024-11-23
5,Makayla Scurlock,-,19,3,7,0.42857142857142855,3,6,0.5,0,0,0.0,9,1,2,3,0,1,0,1,1,Life Pacific,2024-11-23
34,Shakia Teague-Perry,-,12,2,4,0.5,1,2,0.5,2,2,1.0,7,0,1,1,0,0,1,0,5,Life Pacific,2024-11-23
32,Eliza DiGiulio,-,20,1,6,0.16666666666666666,1,2,0.5,1,2,0.5,4,1,4,5,0,0,1,1,0,Life Pacific,2024-11-23
24,Ali Stevens,-,6,1,2,0.5,0,0,0.0,1,3,0.3333333333333333,3,1,0,1,0,0,0,0,0,Life Pacific,2024-11-23
13,Keeley Wright,-,13,1,3,0.3333333333333333,0,0,0.0,0,2,0.0,2,2,3,5,2,0,4,2,5,Life Pacific,2024-11-23
21,Jenika Zurita,-,12,0,5,0.0,0,3,0.0,2,3,0.6666666666666666,2,1,0,1,0,0,0,0,0,Life Pacific,2024-11-23
20,Morgan Baird,*,32,7,13,0.5384615384615384,0,1,0.0,4,4,1.0,18,2,3,5,0,0,2,1,0,College of Idaho,2024-12-06
12,Emma Schmerbach,*,29,5,13,0.38461538461538464,0,2,0.0,3,8,0.375,13,3,5,8,1,0,2,0,3,College of Idaho,2024-12-06
1,Meghan McIntyre,*,27,2,7,0.2857142857142857,0,1,0.0,2,2,1.0,6,1,3,4,1,0,0,3,5,College of Idaho,2024-12-06
