#,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Opponent,Date
23,Clara Robbins,*,19,0-3,0-0,1-2,1-2,3,0,2,1,2,1,1,Life Pacific,11/23/24
33,Mallory Williams,-,20,4-7,4-7,1-2,1-4,5,0,4,0,0,1,13,Life Pacific,11/23/24
5,Makayla Scurlock,-,19,3-7,3-6,0-0,1-2,3,1,0,1,1,0,9,Life Pacific,11/23/24
34,Shakia Teague-Perry,-,12,2-4,1-2,2-2,0-1,1,5,1,0,0,0,7,Life Pacific,11/23/24
32,Eliza DiGiulio,-,20,1-6,1-2,1-2,1-4,5,0,1,1,0,0,4,Life Pacific,11/23/24
24,Ali Stevens,-,6,1-2,0-0,1-3,1-0,1,0,0,0,0,0,3,Life Pacific,11/23/24
13,Keeley Wright,-,13,1-3,0-0,0-2,2-3,5,5,4,2,0,2,2,Life Pacific,11/23/24
21,Jenika Zurita,-,12,0-5,0-3,2-3,1-0,1,0,0,0,0,0,2,Life Pacific,11/23/24
20,Morgan Baird,*,32,7-13,0-1,4-4,2-3,5,0,2,1,0,0,18,College of Idaho,12/06/24
12,Emma Schmerbach,*,29,5-13,0-2,3-8,3-5,8,3,2,0,0,1,13,College of Idaho,12/06/24
1,Meghan McIntyre,*,27,2-7,0-1,2-2,1-3,4,5,0,3,0,1,6,College of Idaho,12/06/24
23,Clara Robbins,*,17,2-5,0-0,2-2,3-3,6,2,2,1,2,2,6,College of Idaho,12/06/24
10,Bridgette McIntyre,*,33,1-3,1-2,0-0,0-4,4,3,1,2,0,1,3,College of Idaho,12/06/24
13,Keeley Wright,-,12,3-3,0-0,0-2,0-2,2,1,1,1,0,0,6,College of Idaho,12/06/24
32,Eliza DiGiulio,-,20,2-7,1-4,0-0,2-2,4,2,2,2,1,0,5,College of Idaho,12/06/24
33,Mallory Williams,-,4,1-3,0-2,2-2,0-0,0,0,0,0,0,0,4,College of Idaho,12/06/24
22,Sierra Scheppele,-,13,1-2,0-1,0-0,0-1,1,1,0,0,0,0,2,College of Idaho,12/06/24
5,Makayla Scurlock,-,12,1-1,0-0,0-0,0-6,6,0,0,0,0,0,2,College of Idaho,12/06/24
34,Shakia Teague-Perry,-,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,College of Idaho,12/06/24
10,Bridgette McIntyre,*,33,8-11,6-8,3-4,1-3,4,2,2,0,0,1,25,Eastern Oregon,12/07/24
20,Morgan Baird,*,20,6-10,0-0,2-3,2-2,4,4,0,3,0,0,14,Eastern Oregon,12/07/24
1,Meghan McIntyre,*,34,1-6,0-1,7-8,1-6,7,1,9,3,0,0,9,Eastern Oregon,12/07/24
12,Emma Schmerbach,*,26,4-13,0-2,0-0,1-3,4,2,1,0,0,1,8,Eastern Oregon,12/07/24
23,Clara Robbins,*,27,2-4,0-1,0-0,1-5,6,2,1,1,1,2,4,Eastern Oregon,12/07/24
32,Eliza DiGiulio,-,17,4-5,2-2,0-0,0-1,1,0,0,0,0,0,10,Eastern Oregon,12/07/24
13,Keeley Wright,-,7,0-2,0-0,2-4,0-1,1,1,1,2,0,0,2,Eastern Oregon,12/07/24
22,Sierra Scheppele,-,15,0-2,0-1,0-0,0-1,1,3,0,0,0,1,0,Eastern Oregon,12/07/24
5,Makayla Scurlock,-,9,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Eastern Oregon,12/07/24
33,Mallory Williams,-,8,0-0,0-0,0-0,0-1,1,0,0,1,1,1,0,Eastern Oregon,12/07/24
34,Shakia Teague-Perry,-,4,0-1,0-0,0-0,1-0,1,0,0,1,0,0,0,Eastern Oregon,12/07/24
1,Meghan McIntyre,*,27,5-9,4-6,5-6,0-3,3,1,4,4,0,0,19,Evergreen (WA),02/01/25
32,Eliza DiGiulio,*,27,6-12,1-6,2-2,1-0,1,2,1,1,0,1,15,Evergreen (WA),02/01/25
10,Bridgette McIntyre,*,26,3-5,2-3,3-4,0-4,4,1,5,2,0,1,11,Evergreen (WA),02/01/25
23,Clara Robbins,*,22,4-5,1-1,2-2,1-7,8,0,0,0,1,0,11,Evergreen (WA),02/01/25
12,Emma Schmerbach,*,29,3-7,0-0,0-0,0-6,6,3,0,0,0,2,6,Evergreen (WA),02/01/25
22,Sierra Scheppele,-,17,2-5,2-5,0-0,0-1,1,2,4,1,0,1,6,Evergreen (WA),02/01/25
33,Mallory Williams,-,15,2-4,2-3,0-0,1-0,1,2,1,1,0,0,6,Evergreen (WA),02/01/25
21,Jenika Zurita,-,9,1-2,0-1,0-0,1-2,3,0,1,0,0,0,2,Evergreen (WA),02/01/25
24,Ali Stevens,-,3,1-2,0-0,0-0,0-0,0,0,0,0,0,0,2,Evergreen (WA),02/01/25
13,Keeley Wright,-,10,0-1,0-0,1-2,1-2,3,0,0,2,0,1,1,Evergreen (WA),02/01/25
5,Makayla Scurlock,-,15,0-0,0-0,0-0,2-2,4,1,0,1,0,0,0,Evergreen (WA),02/01/25
20,Morgan Baird,*,21,10-16,0-0,0-0,1-5,6,1,5,2,1,0,20,Walla Walla,02/14/25
12,Emma Schmerbach,*,20,4-7,1-2,0-0,2-0,2,2,0,1,0,1,9,Walla Walla,02/14/25
01,Meghan McIntyre,*,25,4-7,0-0,0-0,1-4,5,1,4,2,0,3,8,Walla Walla,02/14/25
23,Clara Robbins,*,22,4-4,0-0,0-0,1-3,4,1,0,1,1,0,8,Walla Walla,02/14/25
10,Bridgette McIntyre,*,25,2-3,1-2,0-0,1-3,4,1,3,4,0,2,5,Walla Walla,02/14/25
32,Eliza DiGiulio,-,18,6-11,0-1,3-4,3-3,6,1,2,1,1,1,15,Walla Walla,02/14/25
13,Keeley Wright,-,15,3-4,0-0,2-2,0-0,0,2,0,1,1,1,8,Walla Walla,02/14/25
22,Sierra Scheppele,-,12,2-4,2-4,2-2,0-1,1,0,0,0,0,0,8,Walla Walla,02/14/25
33,Mallory Williams,-,18,1-4,1-4,2-2,0-8,8,1,0,1,0,1,5,Walla Walla,02/14/25
21,Jenika Zurita,-,6,1-1,1-1,0-0,0-0,0,3,0,0,0,0,3,Walla Walla,02/14/25
24,Ali Stevens,-,5,0-0,0-0,3-4,0-1,1,1,0,0,0,0,3,Walla Walla,02/14/25
05,Makayla Scurlock,-,13,1-2,0-1,0-0,0-1,1,1,2,1,0,0,2,Walla Walla,02/14/25
10,Bridgette McIntyre,*,29,6-9,5-8,0-0,0-2,2,1,3,2,0,0,17,Hope International,11/21/24
01,Meghan McIntyre,*,30,6-9,0-1,2-3,1-5,6,2,0,2,0,3,14,Hope International,11/21/24
12,Emma Schmerbach,*,29,6-16,0-3,1-4,2-5,7,2,2,1,0,1,13,Hope International,11/21/24
23,Clara Robbins,*,18,1-2,0-0,0-0,0-3,3,0,0,1,0,1,2,Hope International,11/21/24
22,Sierra Scheppele,*,21,0-5,0-3,0-0,1-2,3,2,1,0,0,0,0,Hope International,11/21/24
